Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
999594;Alfatronic Automacao Ltda;4;+555429921350;vendas@alfatronic.com.br;www.alfatronic.com.br;www.abb.com;Av Ruben Bento Alves, 5247;95032-440;Caxias Do Sul;Rio Grande do Sul;Brazil;
999616;APS Componentes Eletricos Ltda;4;+551156450800;aps@apscomponentes.com.br;www.apscomponentes.com.br;www.abb.com;Trinta de Outubro 65;04776-050;Sao Paulo;Sao Paulo;Brazil;
1000213;3Lr Produtos E Servicos Eletricos Eireli;4;+551146515584;contato@3lr.com.br;www.3lr.com.br;www.abb.com;Rua Santa Cecilia 722;07411-190;Aruja;Sao Paulo;Brazil;
1000254;APE BAURU;4;+551432276356;vendas@apebauru.com.br;www.apebauru.com.br;www.abb.com;Rua Francisco Scarcella, 4-37 - Parque Hipodromo;17033-852;Bauru;Sao Paulo;Brazil;
1000273;ASSISTE EQUIPAMENTOS E ACESSORIOS INDUSTRIAIS Ltda ME;4;+553433132443;assiste@assiste.ind.br;www.lojavirtualassiste.ind.br;www.abb.com;RUA MILITINO JOSE PINTO 505;38035-340;Uberaba;Minas Gerais;Brazil;
1000302;Brastech Comercio E Engenharia Ltda;4;+553434110100;;;www.abb.com;Av Alexandrita 1560;38280-000;Iturama;Minas Gerais;Brazil;
1000317;CARDAO COMERCIO E IMPORTACAO LTDA;4;+552126756475;cardaorio@cardaorio.com.br;www.cardaorio.com.br;www.abb.com;RUA SIMAO DIAS SN QD 69 LT 1037 REM LTS 1037 A 1050 RUA COITE 80 LOTE DE TERRENO 1037 QUADRA 69;25251-000;DUQUE DE CAXIAS;Rio de Janeiro;Brazil;
1000322;Centelha Equipamentos Eletricos Ltda;4;+551934467400;;www.dimensional.com.br;www.abb.com;Rod Engenheiro Rene Benedito Si 977;29164-043;Serra;Espirito Santo;Brazil;
1000331;Combase Coml Ltda;4;+551925155480;combase@combase.com.br;www.combase.com.br;www.abb.com;Avenida Monsenhor Jeronimo Baggio,311;13075-350;Campinas;Sao Paulo;Brazil;
1000333;COMERCIAL DE MATERIAIS ELETRICOS NORTE LTDA;4;+553137793627;contato@eletricanorte.com.br;www.eletricanorte.com.br;www.abb.com;R SANTA HELENA 60;35700-285;Sete Lagoas;Minas Gerais;Brazil;
1000337;COMERCIAL ELETRO FONTE LTDA;4;+553433260800;lojavirtual@eletrofonte.com.br;www.eletrofonte.com.br;www.abb.com;AV BARAO DO RIO BRANCO 1726;38020-300;Uberaba;Minas Gerais;Brazil;
1000344;Confase Comercial Exportadora;4;+554535723939;enerluz@enerluz.com.br;www.enerluz.com.br;www.abb.com;Rua Santos Dumont 1634;85851-040;Foz do Iguacu;Parana;Brazil;
1000353;Controlmec Comercio e Servicos Ltda ME;4;;;www.controlmec.com.br;www.abb.com;Rua Italia, 12, Jardim Laguna;29904-342;Linhares;Espirito Santo;Brazil;
1000361;D Maestri Comercio Atacadista Ltda;4;+552737233807;;;www.abb.com;R Antonio Perutti 10;29704-670;Colatina;Espirito Santo;Brazil;
1000362;D. C. Secco E Cia Ltda;4;;;;www.abb.com;R Sergipe 43 Sao Jose;99052-210;Passo Fundo;Rio Grande do Sul;Brazil;
1000364;Dalbem Materiais Eletricos Hidraulicos Ferragens e Ferramentas Eireli;4;+551938339000;vendas@eletrodalbem.com.br;www.eletrodalbem.com.br;www.abb.com;R Dom Paulo de Tarso Campos 141;13140-492;Paulinia;Sao Paulo;Brazil;
1000403;DISTRIBUIDORA ROBERTO J.COUTO LTDA;4;+553732214977;;;www.abb.com;R ANTONIO MARTINS GUIMARAES 1601;35502-285;Divinopolis;Minas Gerais;Brazil;
1000407;DME Distribuidora de Material Eletrico Ltda;4;+552733488100;dmeletrico@dmeletrico.com.br;www.dmeletrico.com.br;www.abb.com;R Xf Chacara 296;29164-064;Serra;Espirito Santo;Brazil;
1000492;ELETRO MW Ltda ME;4;;;eletromw.com.br;www.abb.com;Rua Rui Barbosa,2845, Slj Santa Catarina;89220-101;Joinville;Sao Paulo;Brazil;
1000493;Eletromil Comercial Ltda;4;+552733571000;vendas@eletromil.com.br;www.eletromil.com.br;www.abb.com;Av. Leitao da Silva 1397;29046-005;Vitoria;Espirito Santo;Brazil;
1000494;Eletrovan Material Eletrico Ltda.;4;+552733980050;vendas@eletrovan.com.br;www.eletrovan.com.br;www.abb.com;Rod Br 101 2698;29161-793;Serra;Espirito Santo;Brazil;
1000508;Empresa Brasileira de Montagens Ltda;4;+551136191600;atendimento@pjneblina.com.br;www.pjneblina.com.br;www.abb.com;RUA FREDERICO WOLF 258;05304-000;Sao Paulo;Sao Paulo;Brazil;
1000510;Enginstrel Engematic Instrumentacao Ltda;4;;;www.engematic.com.br/;www.abb.com;R Pilar Do Sul 53 63, Jardim Leocadia;18085-420;Sorocaba;Sao Paulo;Brazil;
1000639;Joclamar Ltda;4; +554721026655;joclamar@joclamar.com.br;www.joclamar.com.br;www.abb.com;R Dr Pedro Zimmermann 3210;89068-000;Blumenau;Santa Catarina;Brazil;
1000649;Kirsten Industria e Comercio de Produtos;4;;;www.kirsten.ind.br;www.abb.com;Av. Jucelino Kubitscheck de Oliveira, 799;81280-140;Curitiba;Parana;Brazil;
1000668;Loja Eletrica Ltda;4;+553140402882;vendas@lojaeletrica.com.br;www.lojaeletrica.com.br;www.abb.com;Rua Professor Jose Vieira De Mendonca 11;31310-260;Belo Horizonte;Minas Gerais;Brazil;
1000726;Multi Drive Comercio Eletroeletronico Ltda EPP;4;+551938389800;vendas@multidrive.com.br;www.multidrive.com.br;www.abb.com;Rua Serra Negra, 1186;13178-420;Sumare;Sao Paulo;Brazil;
1000735;Nortel Suprimentos Industriais SA;4;+551921027700;;www.nortel.com.br;www.abb.com;R Doutor Gustavo Or 6465, Galpao1;13052-501;Campinas;Sao Paulo;Brazil;
1000820;Ribeiro Ind E Com De Prod Eletricos Ltda;4;+554130141800;;www.ribeiro.ind.br;www.abb.com;Rua Gabriel Freceiro De Mirand 1033;81810-480;Curitiba;Parana;Brazil;
1000833;Safety Control Automacao Industrial Ltda;4;+554132420316;vendas@safetycontrol.ind.br;www.safetycontrol.ind.br;www.abb.com;Rua Av Presidente Wenceslau Braz, no 2683;81010-000;Curitiba;Parana;Brazil;
1000839;Select Comercio de Materiais Eletricos Ltda;4;+555135511700;selet@selet-rs.com.br;www.selet-rs.com.br;www.abb.com;Rua Joaquim Nabuco 1516;93310-002;Novo Hamburgo;Rio Grande do Sul;Brazil;
1000922;TESLA SOLUCOES EM ELETRICIDADE Ltda;4;+554933309100;vendas@teslacomercial.com.br;www.teslacomercial.com.br;www.abb.com;RUA PAULO MARQUES, 153-D;89803-001;Chapeco;Santa Catarina;Brazil;
1000940;UNIVERSO ELETRICO LTDA;4;+553121161276;orcamentos@universoeletrico.com.br;www.universoeletrico.com.br;www.abb.com;R OTAVIANO FABRI 220;31250-682;Belo Horizonte;Minas Gerais;Brazil;
1000955;WL ATACADISTA Ltda;4;+556133615500;vendas01@atacadista.com.br;;www.abb.com;ST SCIA QUADRA 12 CONJUNTO 1 S/N LOTE 01;71250-410;Brasilia;Distrito Federal;Brazil;
1002607;Legrand Group - Headquarter;4;;;www.legrand.com.br;www.legrand.com;Rua Verbo Divino,1207 – Bloco A – Cj. 1, 2 ,11 e 12 - Chácara Santo Antônio 04719-002 São Paulo – SP Brésil;;;;brazil;
1002608;Bticino;4;;;www.bticino.com.br;www.legrand.com;Rua Verbo Divino,1207 – Bloco A – Cj. 1, 2 ,11 e 12 - Chácara Santo Antônio 04719-002 São Paulo – SP Brésil;;;;brazil;
1002609;Cemar Legrand;4;;;www.legrand.com.br;www.legrand.com;Rua Gerson Andreis, 1255 Bairro - Distrito Industrial - CEP 95112-13 Caxias do Sul - RS Brésil;;;;brazil;
