Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
999592;Alberta Industrial Controls and Drives Inc;4;+18006613985;;www.altaindustrialcontrols.com;www.abb.com;9720 47th Ave NW;T6E 5P3;Edmonton;Alberta;Canada;
999605;Ancam Solutions Co Ltd;4;+19053390634;;www.ancamcompanies.com;www.abb.com;2009 Wyecroft;L6L 6J4;Oakville;Ontario;Canada;
999676;Brave Control Solutions;4;+15199749955;info@bravecs.com;https://thinkbrave.com/;www.abb.com;1785 Walker Road;N8W 5C2;Windsor;Ontario;Canada;
999684;Cesco Electrical Supply Ltd;4;+18882372611;;www.cescoelectrical.com;www.abb.com;UNIT 1105 575 SEABRORNE AVE;V3B 0M3;Port Coquitlam;British Columbia;Canada;
999702;Controltech Inc;4;+14189529411;denistessier@controltechqc.com;www.control-tech.com;www.abb.com;1326 Rang St Denis;G2G 0G4;Quebec;Quebec;Canada;
999796;FUTECH OTTAWA;4;+613-244-1595;;www.futech.ca;www.abb.com;1475 Star Top Rd;ON K1B 3W5;Gloucester;Ontario;Canada;
999801;Gerrie Electric HQ;4;+18003356621;;www.gerrie.com;www.abb.com;4104 S Service Rd;L7L 4X5;Burlington;Ontario;Canada;
999839;House Of Electrical Supplies Ltd;4;+18886676632;;www.houseofelectrical.com;www.abb.com;115B Shields Court;L3R 9T5;Markham;Ontario;Canada;
1000013;Proax Technologies Ltee.;4;+18665921240;;www.proax.ca;www.abb.com;6700 Millcreek Drive, Unit #3;L5N 8B3;Mississauga;Ontario;Canada;
1000022;Propack Processing & Packaging Systems Inc;4;+19055639400;info@propack.ca;www.propack.ca;www.abb.com;4902 Union Road;L3J 0V8;Beamsville;Ontario;Canada;
1000032;Radian Robotics;4;+1(905)639-7370;sales@radianrobotics.com;www.radianrobotics.com/;www.abb.com;70 LANCING DR;L8W 3A1;Hamilton;Ontario;Canada;
1000040;Rebel Automated Systems;4;+15196543213;;www.rebelautomatedsystems.ca;www.abb.com;366 Hespeler Road;N1R 6J6;Cambridge;Ontario;Canada;
1000120;Spécialités Électroniques Saguenay;4;+4185489936;;www.sessaguenay.ca;www.abb.com;2812 Rue De Lasalle;G7S 2A4;Jonquiere;Quebec;Canada;
1000160;Technomotion Inc;4;+514933-2444;;www.technomotion.ca;www.abb.com;275, Avenue Liberte;J5R 3X8;Candiac;Quebec;Canada;
1002614;Legrand;4;;;www.legrand.ca;www.legrand.com;9024 Keele St L4K 2N2 Concord, Ontario Canada;;;;canada;
1002615;Solarfective;4;;;www.solarfective.com;www.legrand.com;55 Hymus Road Toronto, Ontario Canada;;;;canada;
1002616;Middle Atlantic Canada;4;;;ca.middleatlantic.com;www.legrand.com;113 Iber Road Ottawa, ON K2S 1E7 Canada;;;;canada;
