Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1004426;BORTEX SA DE CV;4;2223-8937;luisleiva@grupobortex.com;;www.se.com;Calle Los cedros , Número 10;1101;Colonia el rosal Sur;San Salvador;elsalvador;
1004427;COMPUPART STORE SA DE CV;4;503-22662800;mlandos@compupart.com.sv;www.compupart.com.sv;www.se.com;21 AV NORTE #1512;SV;SAN SALVADOR;;elsalvador;
1004429;SOINTEC S.A. DE C.V.;4;(503)25566707;ventas@sointec.com.sv;www.sointec.com.sv;www.se.com;RESIDENCIAL VILLAS DE SUIZA POL H CASA 5;000;SANTA TECLA;;elsalvador;
1004430;SOLUCIONESSV, S.A. DE C.V.;4;50375747940;vvelasquez@solucionessv.com;www.solucionessv.net;www.se.com;Antiguo Custaclan la Libertad el Salvador;0509;El Salvador;;elsalvador;
1004431;TECNASA ES;4;(503)22288777;lkessler@tecnasa.com;www.tecnasa.com;www.se.com;Edificio Tecnasa, 133, Calle La Reforma, San Salvador, El Sa;1101;San Salvador;San Salvador;elsalvador;
1004433;TECNOLOSIS S.A DE C.V.;4;503-22352038;mlandos@tecnolosis.com.sv;www.tecnolosis.com.sv;www.se.com;21 Avenida Norte #1512 Colonia Layco, San Salvador, El Salvador;SV;SAN SALVADOR;San Salvador;elsalvador;
1004434;Toolbox Latin America, S.A. de C.V.;4;+50370287029;josbpascual@gmail.com;;www.se.com;San Salvador;Toolbox;1M;San Salvador;elsalvador;
1004435;CONSULTOR EN LINEA SA DE CV;4;;mpleites@consultorenlinea.com;www.consultorenlinea.com;www.se.com;PROLONG AVE MASF NTE EDIF OCA CHANG #88;0000000000;SAN SALVADOR;San Salvador;elsalvador;
1004436;Fasor, S.A. de C.V.;4;50322252982;leni.dubon@fasor.com.sv;www.fasor.com.sv;www.se.com;23 calle pte. Urbanizacion Palomo - Calle y Pasaje Victoria;;San Salvador;;elsalvador;
1004437;GRUPO LA MERCED S. A. DE C .V.;4;+50378336155;info@grupolamerced.org;www.grupolamerced.org;www.se.com;Calle Los Almendros #13, Colonia Ciudad Jardin;503;SAN MIGUEL;San Miguel;elsalvador;
1004438;IPCOM;4;25270333;info@ipcomla.net;www.ipcomla.net;www.se.com;1° calle poniente #4437 entre 85 y 87 avenida norte. Col. Escalon;1101;San Salvador;San Salvador;elsalvador;
1004439;ISERTEC DE EL SALVADOR, S.A. DE C.V.;4;22465512;abernal@isertec.com;www.isertec.com;www.se.com;5a. Cl. Pte #3938, Colonia Escalón;;SAN SALVADOR;San Salvador;elsalvador;
1004440;ITCORP GROUP S.A DE C.V;4;21000904;joel.llaguno@itcorpgroup.net;www.itcorpgroup.net;www.se.com;3ra Calle Pte. # 3-9;00000;SANTA TECLA;La Libertad;elsalvador;
1004441;LABOEQUIS, S.A. DE C.V.;4;22986633;riverajose@laboequis.com;www.laboequis.com;www.se.com;CALLE Y COL. ESTADIO 2, #26;00000;SAN SALVADOR;San Salvador;elsalvador;
1004442;NEW MILLENIUM SA DE CV;4;76087763;alejandro@millenium.com.sv;www.newmilleniumsv.com;www.se.com;79 AV NTE #507-2, ENTRE 7Y 9 CALLE PTE COL ESCALON;0;EL SALVADOR;;elsalvador;
