Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
999725;Dominar Engineers;4;+924237500078;sales@de.com.pk;www.de.com.pk;www.abb.com;65-A, Ferozpur Road , Samanabad Link Road;54000;Lahore;Punjab;Pakistan;
999969;Nextreme Techno Solutions Pvt Ltd;4;+924237180313;;https://nextremetech.com/;www.abb.com;2nd Floor, Plaza 3A, Block A, Commercial area Eden City, Block A DHA Phase 8;54000;Lahore;Punjab;Pakistan;
1002677;LEGRAND SNC FZE;4;;;contact us;www.legrand.com;Wing C, Office 701 - Dubai Silicon Oasis P.O. Box 341068 Dubai Emirats-Arabes-Unis;;;;pakistan;
1006118;Britlite Engineering Company;4;;abdul.ghani@britlite.net;https://britlite.net/;www.se.com;12 - C, First Floor, Seher Lane No. 9, Phase 7, D.H.A., Kara;75500;Karachi;;pakistan;
1006119;Business Excellence;4;+923425900900;sali_khan@hotmail.com;www.be-pk.com;www.se.com;House # 352, Street # 68, MPCHS, Sector E-11/3, Islamabad;44000;Islamabad;;pakistan;
1006120;Syed Business Solution;4;03212281375;ayaz@sbsol.net;www.sbsol.net;www.se.com;Officer no 1 & 2, plot 8/f PECHS Block 6 main Shah rah e faisal.;74600;Karachi;;pakistan;
1006121;CNS Engineering;4;+924232560257;kashif.hussain@cnse.com.pk;www.cnsint.com;www.se.com;70 -XX Commercial Area, Khayabaan-e-Iqbal, DHA Phase III, Lahore , Pakistan;54000;Lahore;;pakistan;
1006122;DWP Group;4;92-51111005006;munib.khawaja@dwp.com.pk;;www.se.com;Plot No. 18, Street No. 39, G-9/2;44000;Islamabad;;pakistan;
1006123;Global Solutions Network Pakistan;4;+92-300-8505303;gondal@gsnnet.net;www.gsnnet.net;www.se.com;House #846, Street #86, Sector I-8/4;44000;ISLAMABAD;;pakistan;
1006124;Inpro Pakistan (Pvt) Ltd.;4;;andrew.ishaq@inproglobal.com;www.inproglobal.com;www.se.com;House No. 712, Block J-II, Johar Town, Lahore.;54000;Lahore;;pakistan;
1006125;MSSJ Enterprises;4;92-42-35388912;ali.nasir@mssjent.com;www.mssjent.com;www.se.com;Office# 65 C, 11th Commercial street;75500;Karachi;;pakistan;
1006126;Multilink Engineering;4;+924236619991,+923213000547;muhammad.ali@multilinkeng.com;www.multilinkeng.com;www.se.com;E 66 Street # 4 new Super Town Defence Mor Lahore Cantt;54000;Lahore;;pakistan;
1006127;NA Technologies;4;03404770980;noman@nat.com.pk;www.nat.com.pk;www.se.com;Suit No. 101 1st Floor Plot No. 58, Sector 33/F Korangi No. 2;74900;Karachi;;pakistan;
1006128;Soft Communications;4;+92518445658;shabbir@softcom.com.pk;www.softcom.com.pk;www.se.com;Flat No. 2-1st Floor, Plot No, 74, I & T Center G-8/1;44000;Islamabad;;pakistan;
